game_key,event,year,name,id,category,start_time,duration,runners,host,max_viewers,median_donation,total_donations,donations_per_min,num_chats,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC,chats_per_hour,is_Sony,is_Nintendo,is_Microsoft,is_Sega,is_Atari,is_PC,is_Mobile,is_Arcade,is_Other
SGDQ_2017_Sonic CD 2011,SGDQ,2017,Sonic CD 2011,56,,2017-07-03 21:17:00,0.39666666666666667,flying fox,,153877.0,25.0,3025.01,127.101260504202,8621.0,0.0,0.0,1.0,1.0,Sonic Team,Sega,2011.0,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,82.0,7.8,1.0,21733.613445378152,1,0,1,0,0,1,0,0,0
SGDQ_2017_Sonic Generations,SGDQ,2017,Sonic Generations,57,,2017-07-03 21:55:00,0.9844444444444443,Frokenok,,158130.0,20.0,3812.13,64.5394469525959,23810.0,0.0,0.0,1.0,1.0,Sonic Team,Sega,2011.0,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,77.0,8.2,1.0,24186.230248307,1,0,1,0,0,1,0,0,0
SGDQ_2017_Sonic Colours,SGDQ,2017,Sonic Colours,58,,2017-07-03 23:20:00,0.8361111111111111,CriticalCyd,,173302.0,20.0,2391.25,47.6661129568106,16100.0,0.0,0.0,0.0,0.0,Sonic Team,Sega,2010.0,Wii,Wii,7,78.0,8.4,0.0,19255.81395348837,0,1,0,0,0,0,0,0,0
SGDQ_2017_Mirror's Edge,SGDQ,2017,Mirror's Edge,59,,2017-07-04 00:25:00,0.8475,Blackbeltginganinja,,162151.0,25.0,2269.01,44.6216322517207,24660.0,0.0,0.0,0.0,0.0,DICE,Electronic Arts,2008.0,"PlayStation 3, Xbox 360","PS3, Xbox 360",7,81.0,7.5,0.0,29097.34513274336,1,0,1,0,0,0,0,0,0
SGDQ_2017_Mirror's Edge Catalyst,SGDQ,2017,Mirror's Edge Catalyst,60,,2017-07-04 01:34:00,1.063611111111111,matchboxmatt,,150851.0,25.0,8277.39,129.705771741969,17501.0,0.0,0.0,1.0,1.0,DICE,Electronic Arts,2016.0,"PlayStation 4, Xbox One, Windows","PS4, Xbox One, PC",8,70.0,5.9,1.0,16454.322277357012,1,0,1,0,0,1,0,0,0
SGDQ_2017_Donkey Kong 64,SGDQ,2017,Donkey Kong 64,61,,2017-07-04 02:56:00,2.1780555555555554,Kiwikiller67,,145547.0,15.0,16525.49,126.454457339625,51290.0,0.0,0.0,1.0,1.0,Rare,Nintendo,1999.0,Nintendo 64,N64,5,90.0,8.6,0.0,23548.526973600307,0,1,0,0,0,0,0,0,0
SGDQ_2017_Castlevania: Legacy of Darkness,SGDQ,2017,Castlevania: Legacy of Darkness,62,,2017-07-04 05:28:00,0.7186111111111111,SluckySeven,,112298.0,50.0,2117.0,49.0993428681871,11103.0,0.0,0.0,1.0,1.0,Konami,Konami,1999.0,Nintendo 64,N64,5,,,0.0,15450.63780440665,0,1,0,0,0,0,0,0,0
SGDQ_2017_Jet Set Radio Future,SGDQ,2017,Jet Set Radio Future,78,,2017-07-04 05:32:00,2.0,FingerQuick,,112298.0,20.0,6171.79,51.4315833333333,32390.0,0.0,0.0,0.0,0.0,Smilebit,Sega,2002.0,Xbox,Xbox,6,88.0,8.8,0.0,16195.0,0,0,1,0,0,0,0,0,0
SGDQ_2017_JSRF: Jet Set Radio Future,SGDQ,2017,JSRF: Jet Set Radio Future,3,,2017-07-04 06:44:00,1.885,FingerQuick,,105815.0,10.0,6555.98,57.9662245800177,29055.0,,,,,,,,,,,,,,15413.793103448275,0,0,0,0,0,0,0,0,1
SGDQ_2017_Astal,SGDQ,2017,Astal,63,,2017-07-04 08:48:00,0.3888888888888889,Gyre,,86166.0,27.57,1000.14,42.8631428571429,4923.0,0.0,0.0,0.0,0.0,Sega,Sega,1995.0,Sega Saturn,Sega Saturn,5,,,0.0,12659.142857142857,0,0,0,1,0,0,0,0,0
